t,score,shape,power_db,rssi,state
18.421,-0.742,0.400,0.040,-55.2,0
18.569,-0.825,0.372,0.016,-55.2,0
18.708,-0.771,0.380,-0.122,-55.2,0
18.838,-0.627,0.416,-0.177,-55.3,0
18.964,-0.561,0.447,-0.155,-55.4,0
19.109,-0.046,0.618,-0.362,-55.6,0
19.258,0.101,0.631,-0.282,-55.8,0
19.380,0.134,0.659,-0.239,-56.0,0
19.529,0.016,0.668,-0.125,-55.9,0
19.657,0.132,0.786,-0.192,-55.9,0
19.826,0.130,0.769,-0.146,-55.9,0
19.952,0.071,0.755,0.068,-55.8,0
20.100,-0.039,0.703,0.001,-55.7,0
20.233,-0.113,0.691,-0.004,-55.7,0
20.369,-0.120,0.723,-0.021,-55.7,0
20.494,-0.109,0.730,-0.057,-55.8,0
20.642,-0.069,0.763,-0.062,-55.8,0
20.788,0.134,0.859,0.144,-55.8,0
20.940,0.321,0.903,0.173,-55.8,0
21.087,0.482,0.943,0.190,-55.8,0
21.210,0.391,0.873,0.074,-56.0,0
21.360,0.534,0.934,0.208,-56.0,0
21.494,0.452,0.898,0.089,-56.0,0
21.628,0.443,0.910,-0.152,-56.0,0
21.766,0.448,0.915,-0.158,-56.0,0
21.900,0.391,0.904,-0.088,-56.0,0
22.039,0.323,0.881,0.008,-56.0,0
22.198,0.240,0.816,0.065,-56.0,0
22.379,0.104,0.717,0.077,-56.0,0
22.507,0.849,0.907,0.474,-56.0,0
22.649,1.342,0.909,0.511,-56.0,0
22.769,1.102,0.713,0.337,-56.0,0
22.891,0.948,0.685,0.335,-56.0,0
23.014,0.778,0.636,0.311,-56.0,0
23.202,0.577,0.574,0.280,-56.0,0
23.338,0.029,0.423,-0.118,-55.9,0
23.488,-0.398,0.362,-0.051,-55.8,0
23.641,-0.631,0.372,0.030,-55.8,0
23.764,-0.708,0.427,0.017,-55.8,0
23.969,-0.669,0.508,-0.016,-55.7,0
24.180,-0.506,0.539,-0.152,-56.0,0
24.332,-0.181,0.627,-0.262,-56.1,0
24.478,-0.009,0.662,-0.242,-56.0,0
24.623,0.247,0.707,-0.322,-56.0,0
24.777,0.457,0.729,-0.354,-56.0,0
24.901,0.069,0.603,-0.013,-55.9,0
25.026,-0.095,0.597,0.098,-55.8,0
25.199,-0.231,0.557,0.089,-55.8,0
25.360,-0.270,0.535,0.135,-55.7,0
25.498,-0.170,0.560,0.197,-55.5,0
25.625,-0.365,0.504,0.038,-55.4,0
25.747,-0.427,0.539,-0.074,-55.3,0
25.887,-0.126,0.636,-0.270,-55.3,0
26.008,-0.069,0.603,-0.217,-55.4,0
26.131,-0.054,0.598,-0.208,-55.5,0
26.253,-0.032,0.608,-0.211,-55.7,0
26.379,0.066,0.658,-0.241,-55.8,0
26.532,-0.118,0.630,0.003,-55.9,0
26.669,-0.108,0.688,0.098,-55.9,0
26.797,-0.046,0.726,0.119,-55.8,0
26.969,0.050,0.772,0.134,-55.7,0
27.092,0.072,0.764,0.110,-55.7,0
27.240,0.158,0.731,-0.231,-55.8,0
27.395,0.092,0.683,-0.175,-55.7,0
27.532,-0.044,0.652,-0.104,-55.8,0
27.700,-0.093,0.660,-0.127,-56.0,0
27.838,0.117,0.717,-0.275,-56.0,0
27.958,0.025,0.684,-0.137,-56.0,0
28.112,0.006,0.673,-0.175,-56.0,0
28.234,-0.080,0.675,-0.093,-56.2,0
28.359,-0.115,0.680,-0.103,-56.3,0
28.484,-0.188,0.657,-0.038,-56.7,0
28.608,-0.150,0.678,0.100,-56.8,0
